"","T-10657-1","T-10103-1","T-10532-1","T-10431-1","T-10358-2","T-10341-1","T-10171-1","T-10257-1","T-10221-1","T-10276-1","T-10274-1","T-10162-1","T-10425-1","T-10614-1","T-10484-1","T-10423-1","T-10370-1","T-10589-2","T-10129-1","T-10440-2","T-10331-1","T-10259-1","T-10186-1","T-10211-2","T-10310-1","T-10713-1","T-10548-1","T-10396-1","T-10256-1","T-10167-1","T-10727-1","T-10443-1","T-10618-1","T-10105-1","T-10687-1","T-10406-1","T-10437-2","T-10636-1","T-10467-2","T-10285-2","T-10566-1","T-10081-1","T-10187-1","T-10198-1","T-10140-2","T-10205-1","T-10325-1","T-10409-2","T-10114-1","T-10434-1","T-10587-1","T-10535-1","T-10356-1","T-10183-1","T-10254-1","T-10027-1","T-10278-1","T-10055-2","T-10160-1","T-10035-1","T-10424-1","T-10117-1","T-10407-1","T-10309-1","T-10109-1","T-10521-1","T-10559-1","T-10138-1","T-10210-1","T-10611-1","T-10401-1","T-10197-1","T-10059-1","T-10658-1","T-10626-1","T-10704-1","T-10156-1","T-10511-1","T-10644-1","T-10104-1","T-10630-1","T-10430-1","T-10056-1"
"BST2",10.1085583648984,10.2622175032986,10.5121733757016,11.008342091996,10.7820177002782,10.3911621183002,11.1484016295748,10.2810703044872,10.7841789021793,10.2777818313565,10.6452899232776,10.0561890131429,10.0051129636343,10.1492660100356,10.190687947228,10.1116141611507,11.2673250288396,10.3053069335418,10.3011818111904,10.5799051128332,10.0101614681796,9.88360997687387,10.3731192809249,9.92494746371881,10.0598787146796,9.43786008051605,10.5385186299179,9.90113463520117,10.0217036802808,10.4982059470812,10.0904814089073,10.5319319603296,10.0415365515046,9.87285923264651,10.1315784323888,10.173372972596,10.293676815912,10.2736906205642,10.0311854691713,10.8726369624552,10.1446750439616,9.91060892526192,10.5328674960067,10.5712262555441,10.1624037649844,9.78950053808121,9.79525221393216,10.3118642733666,10.2137213692387,10.07254889953,9.90856732676261,9.90319459133349,9.60709465064143,10.3911621183002,10.0159623427208,10.4714013095666,10.8691799485116,10.4963949028527,10.8545715715495,9.82031808986401,10.2638398968361,10.4096004612014,10.1898895241724,9.93258100388566,9.86090181683933,10.2360609569929,10.1138825921557,10.9312761179082,10.9617437479932,9.39600226812627,9.75532091212759,9.53418769946705,10.170993702129,9.63520555240818,10.2802401162457,10.4192434389906,10.4290118991845,10.464215924333,10.2712234420836,10.5375704149306,10.3286909738208,10.4397618812704,10.7863215262913
"CCL8",4.79831224694705,4.98277637348092,4.9799641227494,5.28741706911058,4.71862526113224,6.17351065875884,6.56122381974395,5.48269528428406,5.90082517054307,5.31647731637875,5.62163047667013,4.7722916025399,4.80997785221428,5.17111971929269,5.19764846940834,4.63907729574512,6.19652813541888,4.92703526383327,5.05374419231075,5.02407122354982,5.14332372463164,4.96814220222454,4.65802433619618,4.69733802115499,5.34902599277141,4.66974880558,5.69682713036554,4.95765220772151,6.24081262261612,5.83448424502033,5.62163047667013,4.92110993054001,4.74483846105074,5.36299447620502,4.98198561773719,5.37112989147953,5.24840858914026,4.67085622461164,5.44693680214507,5.35312550303311,5.21732886613604,4.84191261209276,5.99472782365952,6.01769828002261,5.04967351008773,4.89790415092494,6.07970103579098,5.5369287784402,5.99408432613434,5.0347863925079,5.34394030983414,4.76171819876292,4.88990598970734,5.81732834166755,4.50121197894978,5.06257071886087,5.43126816954121,5.27616578716355,6.11649853967554,4.74494536268089,5.26454018980736,5.60256560734688,5.15975238017506,4.54398741649429,5.09743441010923,4.73573410049409,4.7499258484147,6.09845874729044,4.79564615475428,4.59242243208934,5.20254701416038,5.20063165890421,5.01740946077064,5.15630088740664,4.95399024397978,4.98547831838814,4.62591550106807,5.7499296840439,5.44333355606921,5.71360643079687,4.74272850520787,4.85015532923568,5.58161235404553
"CEACAM1",7.65287414880196,7.66288975471864,7.80853064328451,9.09875848294761,8.32465752049594,8.17403305294219,8.72585228529233,7.73717804027269,8.74629031255449,7.87653614114648,7.32050790922828,7.70321053554463,7.31253195466696,8.2368269383481,7.81522844362658,7.51560581540783,7.89337657905729,7.92137719319385,7.77871110080424,7.84099131188791,8.41129101744873,8.02075066450585,7.96250462788498,7.38857499004584,7.42339941497835,7.05665503114443,8.07142058392751,8.05072527862992,7.88162029027161,8.01494389919142,7.65846721401661,7.7262437755921,8.16915356673942,7.31452276864047,8.22745015932124,7.65759180555885,7.60150848493669,8.42379878750326,7.96864016174361,8.30578395703038,7.72444145328781,8.38843833645334,7.31745551684515,8.39096983114164,7.19142482421813,8.05804423722837,7.6768413321745,7.72116470589014,8.65206464262442,7.35502835761195,7.98111653212929,7.9182825214763,8.20941700466459,6.68437666320218,8.0297358980335,7.88244705092499,8.09092230850417,7.66725599165487,8.87669568368093,6.97866726708348,7.33276179221204,7.62692389584694,7.87460581775393,8.19292152931662,7.63512505468146,7.62835570588906,6.56657866994404,9.66073970390608,7.44302970895853,8.49370108836367,7.72842979214213,7.79317590734692,8.56292356709731,7.70727268357345,8.01609269727033,7.18164273065209,7.41462635677828,7.80529315226861,7.3599056851222,8.5954214272552,7.98319470379979,6.8674695233351,8.35563507226519
"CXCL10",6.09776765380345,5.43692609209433,5.75911435662125,6.49866778679501,5.85387890381557,5.95795073654273,7.74233213334197,5.26690796043564,6.45425789882008,5.86198622763913,6.50146217243502,5.94008362669498,5.41734093804246,5.11817981393633,5.58863234104884,5.00511798320551,4.80623900468018,6.12371454969977,4.95380654478161,4.71912563084911,5.07900521596723,5.94954953483343,4.90211122860603,5.12013222016486,6.27868619525081,5.20347320992492,5.90222552620803,5.56895919548373,5.91531609270643,6.14419964144687,5.47785811184063,6.05532439556247,5.19160623005611,5.81116987111166,6.05709470832342,6.21829014534157,5.18877503122275,5.1764018994422,5.91166167634663,6.42400563951239,5.58953171407851,5.87545408674518,6.11836251034134,6.6163742305044,5.36237450197762,6.40404084879965,6.17135230068991,6.79451409248374,6.49005928492285,5.88095907422834,6.93950291304788,5.7545127602705,6.06259412255137,6.06359215605897,5.23938265519095,5.47582810208626,5.2331165863757,5.03137092443641,7.94067771474175,5.80394625128937,7.24561793235698,6.41075197264336,6.01071929280607,4.62306263551552,5.34974363361505,5.79604337856535,5.87035440889674,9.22317986770955,6.07333760382726,5.53514988159964,6.09363280929547,6.33648718685876,5.81116987111166,5.73353511412287,4.72972432935682,6.50229056331168,5.55004302471313,6.70068344384793,6.45833431342898,5.46869293181318,5.1175464470713,5.78545460881832,5.96258179852413
"GBP1",9.30962987245157,8.1511103879228,9.47230753627538,10.0206109386282,9.55385790853268,9.71993304519266,10.5955546847179,7.90879084132386,9.85133517861599,8.72761367540613,8.93457448970291,9.24287471183161,8.59429437954896,8.68899891582616,8.58438215529037,7.9329625519504,7.33804823793264,9.46581323610165,8.6894555771141,7.50638876567787,8.36874992467716,9.04627974386483,8.66731978837885,8.69243103787597,9.87302226503238,8.81235025638654,8.64297482190791,8.5522873107583,9.07559976157768,9.65200810704642,8.14580257407115,9.76950478300718,8.45909912514216,8.65270622902724,9.58015063961506,9.33194614345546,8.75151791948655,8.88385724823046,8.43069025444159,9.59232929217399,8.11887440151008,8.83014698959983,8.42608803545682,9.55206351212653,8.30537537402597,9.55801737801769,9.17096946461353,9.85252838051873,9.82289016915794,8.93029344204242,9.89276135688299,9.28657258386488,9.47064291353121,8.24221547240982,8.96429640773351,8.99079649343139,7.97995272220075,8.35937531151071,10.8007350867007,8.57619099565518,9.18766135999032,8.78709694147,8.87178490303741,8.35287063998713,8.91843013817182,8.63931766222684,8.44679857275197,12.5026135739383,8.51700680537155,10.1607226115538,8.88028060269464,9.9351599575875,8.12738432402737,9.15580674053617,8.33839080921713,8.84162037098059,8.35052752809262,9.29105416145388,8.45690553688219,9.30185429407749,8.16812517750584,8.54111320905222,9.70810674389295
"IFI27",6.36569559587757,6.76698973052136,8.73648059146382,13.7476470288616,9.79653988239789,7.95827954556961,9.45250199188542,5.73628364942067,8.51228236766814,8.39795590988141,7.87788544786122,7.54635122456475,7.3178968118277,5.74870430174816,7.80364964143583,5.12064015713741,10.4797986393209,5.71156015779875,7.30748830700296,8.36298739265404,6.71109566838385,6.93982284908895,10.9818852514,5.94913126683591,7.48201473548623,5.99838031798801,8.34485685293282,6.74017524009167,5.84731189681187,9.50066921961827,8.08338013093163,8.22840587970492,8.99720463757605,7.42374326411789,8.27776524225998,8.0814595012987,9.09557740004301,12.9235865090955,5.72582502572725,9.36577539152407,7.20200180155553,6.90799977541187,8.49552865360352,7.50737052890448,7.54240999382014,6.06112135981773,9.19841578939275,6.68842560293267,10.2802401162457,7.57498144488754,6.73532769016663,7.45793555177349,6.70810876962083,10.2736906205642,7.27701234506464,6.62396697658556,7.83084904019328,7.34286201569062,13.6321601778005,8.09260177313462,8.80076205458516,8.00645525706217,6.64288329063669,7.01247026532019,6.62076103727464,6.78930000187799,9.22773174834818,8.32958652444515,10.7712656913197,5.99151395188847,7.72989491653902,7.57356645017898,8.09797003261794,7.23409741282197,6.8120395941385,10.7906045877392,6.84760707329284,7.98830197264434,7.87639085845854,6.7155561287346,7.54526789778831,7.52132130943918,12.8381790192107
"IFI44",9.25514186973274,7.9189944268841,9.52804714429456,10.4742415050912,10.5215385403469,9.28845804882959,10.7059101373911,8.26824883703395,9.5336273108495,7.99923385422606,9.57155055229889,8.40808132988323,8.69326519144259,8.77584330694744,8.23354930367551,8.11339553189861,9.29827362954324,10.0598787146796,9.30394193708578,8.86824506832851,8.11884529322102,8.72988324722476,9.4579685046251,7.94777290597702,9.19841578939275,8.51482832324498,9.75155570208364,8.7599482504944,8.72944504959626,10.5462134464777,8.8892143041349,8.9948643530427,9.43402596800645,8.41578686633076,8.83041263601126,8.62976244235207,9.59907263633714,9.83716384665831,7.72221088007641,10.9171992935918,7.8530271984017,9.40878789073805,9.4471046139025,10.4361831497377,8.76971648544764,8.26549768144195,9.14075599425358,8.675113506096,11.1110380740333,8.89149362832067,9.19390509870573,8.84883615727501,8.70024336875871,9.00524508617032,8.37114476330041,8.99626023102812,8.98312048791601,8.67422961870712,11.9321312524265,8.7185055716758,9.59100707677884,8.98122477278565,8.74841560016458,8.54333859934624,8.7316316958576,8.15744988918005,7.62374712455858,11.940633131758,8.40082620111314,9.36417978743348,8.77936385313495,8.98967625365339,9.21761577783478,8.76306715140366,7.53849128421299,10.3990379952638,8.66026110127351,9.99731718467296,8.20374039916453,10.3003599051213,9.64224441694672,8.08261178415075,11.4202589729054
"IFI44L",8.27934459874988,6.44137713313742,8.93425290583459,10.5433052298191,10.199372433839,8.42313973852947,10.4148603709757,6.49618198333757,9.38855716605425,6.76698973052136,9.07461516417325,6.7185357354009,7.31583259100436,7.85121160113308,7.14029557577682,5.45296191488057,8.48115735048199,9.32114307711919,7.86049530196756,7.67181673974659,7.35403368370422,7.33384221698876,9.25975385008168,6.37361071725467,8.47576830443958,7.43640640163392,8.93331087401324,7.169386128714,7.58254190640643,10.1593109482312,8.3828997710494,8.30831158472511,9.44223725195467,7.08235394483241,7.74418210719165,7.60204388071074,8.93978478431484,9.22870740507826,6.57973755035785,11.2372211248341,7.20267063251751,9.05967226772528,9.60947630805459,10.2272957945417,7.65813419866215,7.25588413581852,8.27218965435422,7.29226894122697,11.1046983652674,8.09914817157129,8.11185299488043,7.92011253424105,7.30405907043309,8.27973210361586,7.07186631180215,7.67872473412998,8.12921469709071,8.07609982047716,11.9129676854612,7.00044685359246,9.44277261146809,7.74122638811835,6.78408013445052,7.26882963220697,7.14265658809806,7.20605785636562,5.81190553988357,12.146244746438,7.64624017121603,8.14045402830259,8.20760127857707,8.07533629576394,8.05095441337497,7.07318425808835,6.30443193067993,9.9966268833701,6.53002545632762,9.11220316405695,6.38425205144973,9.71368780971047,8.76884465836587,6.7929929202292,11.188916926187
"IFIH1",8.42640594479736,8.47989934511225,8.71937514358069,9.10977716083578,9.43131611429983,8.65331313976011,9.26336307056724,7.9796186395536,9.10293020609679,8.39222909400313,8.74841560016458,8.3975503358325,8.36542980957074,8.32998533756106,8.15322037439508,8.12153498534604,7.97546963821895,8.73692959894273,8.03045752516005,7.96761508433285,7.87454630356903,8.4268209882267,8.55551313891436,8.32077731798815,8.83446596075334,8.70370460592648,8.75201013074283,8.13387038188037,8.58754701663422,9.49791879850885,8.2197221654692,8.67814420495116,8.67814420495116,8.31555766845452,8.59602214142136,8.19201197191105,8.74797563465657,8.43498113396839,7.87119267012357,9.41460214589948,7.93094320758731,8.60367662587774,8.42763437982246,9.25975385008168,8.30710015866638,8.57236391604306,8.27417916135548,8.44111870480338,9.72663232619386,8.49469960637348,8.34363523468939,8.44890966812042,8.675113506096,8.27855105821922,7.97734039570271,8.62717490419088,8.02778859180045,8.17184934653168,10.2425485726223,8.03762362492579,8.47450569634154,8.4052349387922,8.52988703525826,7.96874393373691,8.29921294353428,8.18771303024978,8.27855105821922,10.2613828761774,8.03120043347395,9.27821199527537,8.64221205041556,9.14708911627006,8.24373091549844,8.22408236908566,8.18578580608099,8.91258468535259,8.21814437746465,8.61515080454965,8.33841734036564,8.89329455383302,8.62418330386317,8.42599370782947,9.89643188588946
"IFIT1",7.50959715270418,6.96284872871587,7.61141961691497,8.57098276630894,9.01875615099769,7.39384115603695,8.5708233406077,6.82383331534301,8.28028804853956,6.80305768145113,7.89401929622195,7.00307011485881,7.35331436105461,7.36080732927667,7.07859778847333,6.76596056495307,8.12042140153973,8.01766897302463,7.91243256126156,7.58372990185723,7.22834434366087,7.02761121513248,8.44389072103649,6.74898455524566,7.91322941996688,6.91487198371556,7.95398143256387,6.97240477883938,7.12426276195196,9.04971270512915,7.38800858580759,7.69278674345786,7.95173700040577,6.92489232773966,7.12112101244788,7.80189411566634,7.82621692379714,7.86549777850076,7.06416891651122,9.21538799075605,7.34205285505714,7.94437491825794,7.9053800175285,8.75117650729924,7.51154369007071,7.21282831315704,7.65259636735435,7.37322915609754,9.97199323009049,7.51991835623648,7.41219096718805,7.80218940339387,7.44539169996435,7.37672322672531,7.15720324708009,7.45176142305907,7.59863143252129,7.77945366035676,10.2112948684452,6.94195607960802,8.17744349999561,7.64220234079341,6.96538942726245,7.39809958237214,7.08171866563329,7.5776777221059,6.92615868108366,10.1399861967734,6.88378401121347,8.19300947275357,7.21395488383841,7.34194410214051,7.66432892850367,7.46110609341384,6.96944265302903,8.36623265205637,7.53464007159637,8.38393093762977,7.04140255962149,8.55314141468112,7.84047662944935,7.57501707974771,9.15448730156667
"IL10RB",10.820799744796,10.6783310319948,10.7231023939921,10.4576253497956,10.9341513546015,10.5086406625848,10.6904762205289,10.9465914606495,10.7663396172125,10.4740755676273,10.644285116985,10.7043353412181,10.5009689776049,11.0061885848505,10.6974913941801,10.3634423332163,10.2649048086266,10.5867479513796,10.3268075731312,10.5691523945904,10.8054694705607,10.7053701842479,10.7124007731696,10.8901935488388,10.815680673346,10.2491923711423,10.625003354671,10.8911996966049,10.9546877862475,11.3294470063025,10.3742333370739,10.4729943469245,10.6857067824806,10.6082478225577,10.6369240591664,10.7285815745053,10.6707435519813,11.1063834808315,10.6639158700444,10.7555989943672,10.5487036562758,10.9394342341395,10.5182694574185,10.7878573120283,10.450533277012,10.8536828584501,10.493421298219,10.5235453113853,10.9274242620974,10.5604152673923,10.7308172882253,10.5499363533758,11.2059529575812,10.5904346496755,10.8257131182825,10.8529300631496,10.2531297711237,10.5385840166935,10.5759653693142,10.6509093343414,10.6401158343051,10.3914113708292,10.7652555790123,11.0631370834177,10.8977774930398,10.7600848117674,10.2754565194107,10.9570740430422,10.2982991245966,11.1547328278946,10.8968388239822,10.4284777154233,11.0946635570485,10.6464428679302,10.6707984354931,10.2063568980685,11.0067918789933,10.769385020398,10.5550358930191,10.7721467529215,10.8304204992936,10.3950044745503,10.5722270064063
"IRF7",9.4176201804456,9.63109220622665,9.57333584117284,10.6881242024943,10.2876270615537,9.77205568859775,10.7134125213449,9.41624295762916,10.0965468222836,9.54860347528724,9.50186628039031,9.18956104304775,9.05230422477089,9.59640633407385,9.31467086997591,9.04526501124686,10.9581951692062,9.46433381074164,9.20163525087665,9.97360112448077,9.73892081240439,9.18337324445761,10.3134023651866,9.04905733980898,9.37406182761774,8.91242432346039,9.93979092249629,9.06122020914071,9.37677955413337,10.2159720141493,9.52750645221192,9.87732446492742,10.2049808021367,9.0700001873994,9.61405431611622,9.37308920437034,9.94738348041362,9.50575447985517,9.53128184084536,10.6096234847178,9.45909406073329,9.59131668175917,10.3967922761901,10.5622927884292,9.25494808378931,9.46458007138951,9.5906877225462,9.31182833615088,10.5400133790447,9.23062274829449,9.20614800656259,9.42916947276564,9.00978658744218,9.59491709515376,9.22705585330282,9.26789578031718,9.80342080315435,9.62520649076979,11.0596464449914,8.87751737402719,9.59204536932424,9.25518240988631,8.99612591929892,9.32189137543166,9.48299172743501,9.39715476359396,9.58376862625719,10.8122446387031,9.77805711128735,9.00812760177345,9.55492251522912,9.53131573043903,9.82438736464095,8.90939468924352,9.58402019931813,9.83498609184913,9.4180728811952,9.71073053328526,9.23744263563015,10.4978182617837,9.65965739133421,9.35011590863257,10.6078543236031
